85|SF57761|1|2|BZD Belice (Dólar), Tipo en pesos|Tipos de Cambio para Revalorización de Balance del Banco de México, BZD Belice (Dólar), Tipo en pesos|2000-01-01|\N|\N|1|\N|\N
86|SF57762|1|2|BMD Bermuda (Dólar), Dólares por divisa	|Tipos de Cambio para Revalorización de Balance del Banco de México, BMD Bermuda (Dólar), Dólares por divisa	|2000-01-01|\N|\N|1|\N|\N
87|SF57763|1|2|BMD Bermuda (Dólar), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, BMD Bermuda (Dólar), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
88|SF57764|1|2|BOB Bolivia (Boliviano), Dólares por divisa	|Tipos de Cambio para Revalorización de Balance del Banco de México, BOB Bolivia (Boliviano), Dólares por divisa	|2000-01-01|\N|\N|1|\N|\N
89|SF57765|1|2|BOB Bolivia (Boliviano), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, BOB Bolivia (Boliviano), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
90|SF57766|1|2|BRL Brasil (Real), Dólares por divisa	|Tipos de Cambio para Revalorización de Balance del Banco de México, BRL Brasil (Real), Dólares por divisa	|2000-01-01|\N|\N|1|\N|\N
91|SF57767|1|2|BRL Brasil (Real), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, BRL Brasil (Real), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
92|SF57770|1|2|CAD Canadá (Dólar), Dólares por divisa|Tipos de Cambio para Revalorización de Balance del Banco de México, CAD Canadá (Dólar), Dólares por divisa|2000-01-01|\N|\N|1|\N|\N
93|SF57771|1|2|CAD Canadá (Dólar), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, CAD Canadá (Dólar), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
94|SF57772|1|2|CLP Chile (Peso), Dólares por divisa	|Tipos de Cambio para Revalorización de Balance del Banco de México, CLP Chile (Peso), Dólares por divisa	|2000-01-01|\N|\N|1|\N|\N
95|SF57773|1|2|CLP Chile (Peso), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, CLP Chile (Peso), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
96|SF57774|1|2|CNY China Continental (Yuan Continental), Dólares por divisa|Tipos de Cambio para Revalorización de Balance del Banco de México, CNY China Continental (Yuan Continental), Dólares por divisa|2000-01-01|\N|\N|1|\N|\N
97|SF57775|1|2|CNY China (Yuan Continental), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, CNY China (Yuan Continental), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
98|SF57776|1|2|COP Colombia (Peso 2/), Dólares por divisa|Tipos de Cambio para Revalorización de Balance del Banco de México, COP Colombia (Peso 2/), Dólares por divisa|2000-01-01|\N|\N|1|\N|\N
99|SF57777|1|2|COP Colombia (Peso 2/), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, COP Colombia (Peso 2/), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
100|SF57780|1|2|KRW Corea Del Sur (Won 2/), Dólares por divisa|Tipos de Cambio para Revalorización de Balance del Banco de México,  KRW Corea Del Sur (Won 2/), Dólares por divisa|2000-01-01|\N|\N|1|\N|\N
101|SF57781|1|2|KRW Corea Del Sur (Won 2/), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, KRW Corea Del Sur (Won 2/), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
102|SF57782|1|2|CRC Costa Rica (Colon), Dólares por divisa|Tipos de Cambio para Revalorización de Balance del Banco de México, CRC Costa Rica (Colon), Dólares por divisa|2000-01-01|\N|\N|1|\N|\N
103|SF57783|1|2|CRC Costa Rica (Colon), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, CRC Costa Rica (Colon), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
104|SF57784|1|2|CUP Cuba (Peso), Dólares por divisa|Tipos de Cambio para Revalorización de Balance del Banco de México, CUP Cuba (Peso), Dólares por divisa|2000-01-01|\N|\N|1|\N|\N
105|SF57785|1|2|CUP Cuba (Peso), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, CUP Cuba (Peso), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
106|SF57786|1|2|XDR Der. Esp. Giro (Deg), Dólares por divisa|Tipos de Cambio para Revalorización de Balance del Banco de México,  XDR Der. Esp. Giro (Deg), Dólares por divisa|2000-01-01|\N|\N|1|\N|\N
